time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2,bid3,bid_size3,ask3,ask_size3,bid4,bid_size4,ask4,ask_size4,bid5,bid_size5,ask5,ask_size5,bid6,bid_size6,ask6,ask_size6,mid1,imb1,mid2,imb2,mid3,imb3,mid4,imb4,mid5,imb5,mid6,imb6
2021-07-06 09:30:09.232986,433.5,6,433.51,99,15.19,5453,15.2,2631,8.82,2390,8.83,2893,117.68,12,117.7,12,122.3,3,122.32,5,17.53,273,17.54,183,433.505,0.05714285714285714,15.195,0.6745423057892133,8.825,0.45239447283740297,117.69,0.5,122.31,0.375,17.535,0.5986842105263158
2021-07-06 09:30:18.059942,433.5,6,433.51,99,15.19,5453,15.2,2471,8.82,2390,8.83,2893,117.68,12,117.7,12,122.29,5,122.31,7,17.53,372,17.54,167,433.505,0.05714285714285714,15.195,0.6881625441696113,8.825,0.45239447283740297,117.69,0.5,122.30000000000001,0.4166666666666667,17.535,0.6901669758812616
2021-07-06 09:30:19.062293,433.47,28,433.49,6,15.19,5453,15.2,2471,8.82,2390,8.83,2893,117.67,5,117.69,15,122.29,5,122.31,7,17.53,372,17.54,167,433.48,0.8235294117647058,15.195,0.6881625441696113,8.825,0.45239447283740297,117.68,0.25,122.30000000000001,0.4166666666666667,17.535,0.6901669758812616
2021-07-06 09:30:29.072767,433.47,38,433.48,1,15.19,6674,15.2,2869,8.82,2769,8.83,3006,117.67,14,117.69,6,122.3,4,122.32,1,17.53,383,17.54,275,433.475,0.9743589743589743,15.195,0.6993607880121555,8.825,0.4794805194805195,117.68,0.7,122.31,0.8,17.535,0.5820668693009119
2021-07-06 09:30:29.072767,433.47,38,433.48,1,15.19,6674,15.2,2869,8.82,2769,8.83,3006,117.67,14,117.69,6,122.3,1,122.31,1,17.53,383,17.54,275,433.475,0.9743589743589743,15.195,0.6993607880121555,8.825,0.4794805194805195,117.68,0.7,122.305,0.5,17.535,0.5820668693009119
2021-07-06 09:30:33.090786,433.47,38,433.48,1,15.19,6674,15.2,2869,8.82,2759,8.83,3044,117.68,13,117.7,5,122.3,4,122.32,1,17.53,383,17.54,275,433.475,0.9743589743589743,15.195,0.6993607880121555,8.825,0.4754437359986214,117.69,0.7222222222222222,122.31,0.8,17.535,0.5820668693009119
2021-07-06 09:30:39.136615,433.49,1,433.5,5,15.19,6674,15.2,2869,8.82,2759,8.83,3044,117.68,13,117.7,5,122.3,4,122.32,1,17.53,383,17.54,275,433.495,0.16666666666666666,15.195,0.6993607880121555,8.825,0.4754437359986214,117.69,0.7222222222222222,122.31,0.8,17.535,0.5820668693009119
2021-07-06 09:30:39.136615,433.49,1,433.5,5,15.19,6674,15.2,2869,8.82,2704,8.83,3071,117.68,13,117.7,5,122.3,4,122.32,4,17.53,383,17.54,285,433.495,0.16666666666666666,15.195,0.6993607880121555,8.825,0.4682251082251082,117.69,0.7222222222222222,122.31,0.5,17.535,0.5733532934131736
2021-07-06 09:30:47.257551,433.49,2,433.51,63,15.19,6674,15.2,2869,8.82,2704,8.83,3071,117.68,13,117.7,5,122.3,4,122.32,4,17.53,383,17.54,285,433.5,0.03076923076923077,15.195,0.6993607880121555,8.825,0.4682251082251082,117.69,0.7222222222222222,122.31,0.5,17.535,0.5733532934131736
2021-07-06 09:30:48.347917,433.49,2,433.51,63,15.19,6724,15.2,2869,8.82,2704,8.83,3071,117.68,14,117.71,12,122.3,4,122.32,4,17.53,383,17.54,285,433.5,0.03076923076923077,15.195,0.7009277598248723,8.825,0.4682251082251082,117.695,0.5384615384615384,122.31,0.5,17.535,0.5733532934131736
