time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2,bid3,bid_size3,ask3,ask_size3,bid4,bid_size4,ask4,ask_size4,bid5,bid_size5,ask5,ask_size5,bid6,bid_size6,ask6,ask_size6,mid1,imb1,mid2,imb2,mid3,imb3,mid4,imb4,mid5,imb5,mid6,imb6
2021-07-07 09:30:05.033870,433.35,20,433.37,4,15.2,3349,15.21,3459,8.83,1,8.83,1447,117.58,1,117.59,16,122.21,7,122.22,2,17.55,10,17.55,11,433.36,0.8333333333333334,15.205,0.49192126909518213,8.83,0.0006906077348066298,117.58500000000001,0.058823529411764705,122.215,0.7777777777777778,17.55,0.47619047619047616
2021-07-07 09:30:05.033870,433.35,20,433.37,4,15.2,3534,15.21,4309,8.83,1,8.83,1447,117.58,1,117.59,10,122.21,7,122.22,2,17.55,10,17.55,11,433.36,0.8333333333333334,15.205,0.4505928853754941,8.83,0.0006906077348066298,117.58500000000001,0.09090909090909091,122.215,0.7777777777777778,17.55,0.47619047619047616
2021-07-07 09:30:08.040008,433.35,186,433.38,18,15.2,3534,15.21,4309,8.83,1,8.83,1447,117.58,1,117.59,10,122.21,7,122.22,2,17.55,10,17.55,11,433.365,0.9117647058823529,15.205,0.4505928853754941,8.83,0.0006906077348066298,117.58500000000001,0.09090909090909091,122.215,0.7777777777777778,17.55,0.47619047619047616
2021-07-07 09:30:15.087005,433.35,186,433.38,18,15.2,3534,15.21,4309,8.83,1,8.83,1567,117.58,4,117.6,39,122.21,7,122.22,2,17.55,10,17.55,11,433.365,0.9117647058823529,15.205,0.4505928853754941,8.83,0.0006377551020408163,117.59,0.09302325581395349,122.215,0.7777777777777778,17.55,0.47619047619047616
2021-07-07 09:30:15.087005,433.35,186,433.38,18,15.2,3534,15.21,4309,8.83,1,8.83,1567,117.58,4,117.6,39,122.21,8,122.23,7,17.55,10,17.55,11,433.365,0.9117647058823529,15.205,0.4505928853754941,8.83,0.0006377551020408163,117.59,0.09302325581395349,122.22,0.5333333333333333,17.55,0.47619047619047616
2021-07-07 09:30:19.261494,433.36,28,433.38,17,15.2,3534,15.21,4309,8.83,1,8.83,1567,117.58,4,117.6,39,122.21,8,122.23,7,17.55,10,17.55,11,433.37,0.6222222222222222,15.205,0.4505928853754941,8.83,0.0006377551020408163,117.59,0.09302325581395349,122.22,0.5333333333333333,17.55,0.47619047619047616
2021-07-07 09:30:29.104793,433.38,4,433.4,7,15.2,2937,15.21,4309,8.82,3093,8.83,2137,117.59,9,117.61,11,122.22,5,122.25,38,17.54,263,17.55,139,433.39,0.36363636363636365,15.205,0.4053270770080044,8.825,0.591395793499044,117.6,0.45,122.235,0.11627906976744186,17.545,0.654228855721393
2021-07-07 09:30:29.104793,433.38,4,433.4,7,15.2,2937,15.21,4309,8.83,1,8.83,1667,117.59,9,117.61,11,122.22,5,122.25,38,17.54,263,17.55,139,433.39,0.36363636363636365,15.205,0.4053270770080044,8.83,0.0005995203836930455,117.6,0.45,122.235,0.11627906976744186,17.545,0.654228855721393
2021-07-07 09:30:29.104793,433.38,4,433.4,7,15.2,2937,15.21,4309,8.83,1,8.83,1667,117.59,9,117.61,11,122.22,5,122.25,38,17.54,268,17.55,123,433.39,0.36363636363636365,15.205,0.4053270770080044,8.83,0.0005995203836930455,117.6,0.45,122.235,0.11627906976744186,17.545,0.6854219948849105
2021-07-07 09:30:37.245380,433.38,1,433.39,1,15.2,2937,15.21,4309,8.83,1,8.83,1667,117.59,9,117.61,11,122.22,2,122.25,46,17.54,268,17.55,123,433.385,0.5,15.205,0.4053270770080044,8.83,0.0005995203836930455,117.6,0.45,122.235,0.041666666666666664,17.545,0.6854219948849105
2021-07-07 09:30:38.131386,433.38,1,433.39,1,15.2,3222,15.21,4309,8.83,1,8.83,1667,117.58,11,117.6,25,122.22,2,122.25,46,17.54,268,17.55,123,433.385,0.5,15.205,0.4278316292657018,8.83,0.0005995203836930455,117.59,0.3055555555555556,122.235,0.041666666666666664,17.545,0.6854219948849105
2021-07-07 09:30:43.184397,433.38,1,433.39,1,15.2,3507,15.21,4309,8.83,1,8.83,1356,117.58,11,117.6,25,122.21,3,122.23,5,17.55,42,17.55,9,433.385,0.5,15.205,0.4486949846468782,8.83,0.0007369196757553427,117.59,0.3055555555555556,122.22,0.375,17.55,0.8235294117647058
2021-07-07 09:30:43.184397,433.38,1,433.39,1,15.2,3507,15.21,4309,8.83,1,8.83,1356,117.58,1,117.59,18,122.21,3,122.23,5,17.55,42,17.55,9,433.385,0.5,15.205,0.4486949846468782,8.83,0.0007369196757553427,117.58500000000001,0.05263157894736842,122.22,0.375,17.55,0.8235294117647058
2021-07-07 09:30:49.328257,433.35,31,433.37,87,15.2,3507,15.21,4309,8.83,1,8.83,1356,117.58,1,117.59,18,122.21,3,122.23,5,17.55,87,17.56,314,433.36,0.2627118644067797,15.205,0.4486949846468782,8.83,0.0007369196757553427,117.58500000000001,0.05263157894736842,122.22,0.375,17.555,0.2169576059850374
2021-07-07 09:30:49.328257,433.35,31,433.37,87,15.2,3507,15.21,4309,8.83,1,8.83,1356,117.58,1,117.59,18,122.21,3,122.23,5,17.55,42,17.55,9,433.36,0.2627118644067797,15.205,0.4486949846468782,8.83,0.0007369196757553427,117.58500000000001,0.05263157894736842,122.22,0.375,17.55,0.8235294117647058
2021-07-07 09:30:59.107776,433.35,36,433.37,52,15.2,3507,15.21,4309,8.83,1,8.83,1356,117.58,1,117.59,18,122.21,3,122.23,5,17.55,87,17.56,314,433.36,0.4090909090909091,15.205,0.4486949846468782,8.83,0.0007369196757553427,117.58500000000001,0.05263157894736842,122.22,0.375,17.555,0.2169576059850374
2021-07-07 09:30:59.107776,433.35,36,433.37,52,15.2,3507,15.21,4309,8.83,1,8.83,1356,117.58,1,117.59,18,122.21,3,122.23,5,17.55,82,17.56,314,433.36,0.4090909090909091,15.205,0.4486949846468782,8.83,0.0007369196757553427,117.58500000000001,0.05263157894736842,122.22,0.375,17.555,0.20707070707070707
2021-07-07 09:31:08.254806,433.35,36,433.37,52,15.2,3507,15.21,4309,8.83,1,8.83,1356,117.58,1,117.59,22,122.2,62,122.23,5,17.55,82,17.56,314,433.36,0.4090909090909091,15.205,0.4486949846468782,8.83,0.0007369196757553427,117.58500000000001,0.043478260869565216,122.215,0.9253731343283582,17.555,0.20707070707070707
2021-07-07 09:31:09.050057,433.35,26,433.37,38,15.2,3507,15.21,4309,8.83,1,8.83,1356,117.58,1,117.59,22,122.2,62,122.23,5,17.55,82,17.56,314,433.36,0.40625,15.205,0.4486949846468782,8.83,0.0007369196757553427,117.58500000000001,0.043478260869565216,122.215,0.9253731343283582,17.555,0.20707070707070707
2021-07-07 09:31:19.174273,433.32,13,433.35,215,15.2,3543,15.21,4359,8.83,215,8.83,154,117.54,1,117.56,25,122.19,11,122.22,37,17.55,234,17.56,254,433.33500000000004,0.05701754385964912,15.205,0.4483675018982536,8.83,0.5826558265582655,117.55000000000001,0.038461538461538464,122.205,0.22916666666666666,17.555,0.47950819672131145
