time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2,bid3,bid_size3,ask3,ask_size3,bid4,bid_size4,ask4,ask_size4,bid5,bid_size5,ask5,ask_size5,bid6,bid_size6,ask6,ask_size6,mid1,imb1,mid2,imb2,mid3,imb3,mid4,imb4,mid5,imb5,mid6,imb6
2021-07-09 09:30:06.084762,432.4,7,432.42,4,15.23,683,15.23,18,8.86,3181,8.87,2301,116.76,1,116.77,13,121.64,44,121.66,4,17.65,263,17.66,191,432.40999999999997,0.6363636363636364,15.23,0.9743223965763196,8.864999999999998,0.5802626778547976,116.765,0.07142857142857142,121.65,0.9166666666666666,17.655,0.579295154185022
2021-07-09 09:30:09.119211,432.4,6,432.41,65,15.23,683,15.23,18,8.86,3181,8.87,2301,116.76,1,116.77,13,121.64,44,121.66,4,17.65,398,17.66,258,432.405,0.08450704225352113,15.23,0.9743223965763196,8.864999999999998,0.5802626778547976,116.765,0.07142857142857142,121.65,0.9166666666666666,17.655,0.6067073170731707
2021-07-09 09:30:19.158941,432.41,16,432.43,9,15.23,648,15.23,18,8.86,3181,8.87,2566,116.76,56,116.78,14,121.65,70,121.66,1,17.65,310,17.66,313,432.42,0.64,15.23,0.972972972972973,8.864999999999998,0.553506177135897,116.77000000000001,0.8,121.655,0.9859154929577465,17.655,0.49759229534510435
2021-07-09 09:30:19.158941,432.41,16,432.43,9,15.23,648,15.23,18,8.86,3181,8.87,2566,116.76,56,116.78,14,121.65,43,121.67,4,17.65,300,17.66,323,432.42,0.64,15.23,0.972972972972973,8.864999999999998,0.553506177135897,116.77000000000001,0.8,121.66,0.9148936170212766,17.655,0.48154093097913325
2021-07-09 09:30:29.192787,432.41,6,432.43,9,15.23,568,15.23,18,8.86,2900,8.87,2311,116.77,11,116.78,14,121.65,43,121.67,4,17.65,300,17.66,323,432.42,0.4,15.23,0.9692832764505119,8.864999999999998,0.556515064287085,116.775,0.44,121.66,0.9148936170212766,17.655,0.48154093097913325
2021-07-09 09:30:39.228476,432.43,4,432.45,19,15.23,568,15.23,18,8.86,2827,8.87,2974,116.78,31,116.81,11,121.66,12,121.68,1,17.65,235,17.66,368,432.44,0.17391304347826086,15.23,0.9692832764505119,8.864999999999998,0.4873297707291846,116.795,0.7380952380952381,121.67,0.9230769230769231,17.655,0.38971807628524047
2021-07-09 09:30:49.263106,432.43,7,432.44,167,15.23,568,15.23,18,8.86,2827,8.87,2733,116.77,12,116.79,16,121.66,7,121.67,6,17.65,289,17.66,343,432.435,0.040229885057471264,15.23,0.9692832764505119,8.864999999999998,0.508453237410072,116.78,0.42857142857142855,121.66499999999999,0.5384615384615384,17.655,0.4572784810126582
2021-07-09 09:30:59.196669,432.43,12,432.45,9,15.23,568,15.23,18,8.86,2827,8.87,2974,116.78,43,116.8,16,121.66,20,121.68,6,17.65,232,17.66,368,432.44,0.5714285714285714,15.23,0.9692832764505119,8.864999999999998,0.4873297707291846,116.78999999999999,0.7288135593220338,121.67,0.7692307692307693,17.655,0.38666666666666666
2021-07-09 09:31:04.214022,432.43,12,432.45,9,15.23,568,15.23,18,8.86,2807,8.87,2999,116.78,43,116.8,16,121.66,20,121.68,6,17.65,232,17.66,368,432.44,0.5714285714285714,15.23,0.9692832764505119,8.864999999999998,0.4834653806407165,116.78999999999999,0.7288135593220338,121.67,0.7692307692307693,17.655,0.38666666666666666
2021-07-09 09:31:06.194105,432.43,12,432.45,9,15.23,568,15.23,18,8.86,2807,8.87,2999,116.78,43,116.8,16,121.68,5,121.69,4,17.65,12,17.65,45,432.44,0.5714285714285714,15.23,0.9692832764505119,8.864999999999998,0.4834653806407165,116.78999999999999,0.7288135593220338,121.685,0.5555555555555556,17.65,0.21052631578947367
2021-07-09 09:31:09.199519,432.45,11,432.47,4,15.23,568,15.23,18,8.86,2807,8.87,2999,116.8,28,116.82,16,121.68,5,121.69,4,17.65,12,17.65,45,432.46000000000004,0.7333333333333333,15.23,0.9692832764505119,8.864999999999998,0.4834653806407165,116.81,0.6363636363636364,121.685,0.5555555555555556,17.65,0.21052631578947367
2021-07-09 09:31:09.199519,432.45,11,432.47,4,15.23,568,15.23,18,8.86,2807,8.87,2999,116.8,28,116.82,16,121.68,7,121.69,4,17.65,12,17.65,40,432.46000000000004,0.7333333333333333,15.23,0.9692832764505119,8.864999999999998,0.4834653806407165,116.81,0.6363636363636364,121.685,0.6363636363636364,17.65,0.23076923076923078
2021-07-09 09:31:19.217554,432.47,7,432.49,83,15.23,568,15.23,18,8.86,2807,8.87,2999,116.81,7,116.82,1,121.68,7,121.69,4,17.65,12,17.65,40,432.48,0.07777777777777778,15.23,0.9692832764505119,8.864999999999998,0.4834653806407165,116.815,0.875,121.685,0.6363636363636364,17.65,0.23076923076923078
2021-07-09 09:31:26.230061,432.47,7,432.49,83,15.23,568,15.23,18,8.86,2807,8.87,2999,116.81,7,116.82,1,121.68,7,121.69,4,17.65,12,17.65,5,432.48,0.07777777777777778,15.23,0.9692832764505119,8.864999999999998,0.4834653806407165,116.815,0.875,121.685,0.6363636363636364,17.65,0.7058823529411765
2021-07-09 09:31:29.303695,432.46,4,432.48,23,15.23,568,15.23,18,8.86,2807,8.87,2999,116.81,5,116.82,14,121.68,38,121.69,4,17.65,12,17.65,5,432.47,0.14814814814814814,15.23,0.9692832764505119,8.864999999999998,0.4834653806407165,116.815,0.2631578947368421,121.685,0.9047619047619048,17.65,0.7058823529411765
2021-07-09 09:31:29.303695,432.46,4,432.48,23,15.23,535,15.23,18,8.86,2335,8.87,3035,116.81,5,116.82,14,121.7,1,121.72,32,17.64,287,17.65,227,432.47,0.14814814814814814,15.23,0.9674502712477396,8.864999999999998,0.43482309124767227,116.815,0.2631578947368421,121.71000000000001,0.030303030303030304,17.645,0.5583657587548638
2021-07-09 09:31:38.315551,432.49,1,432.5,1,15.23,535,15.23,18,8.86,2335,8.87,3035,116.83,12,116.85,10,121.7,1,121.72,32,17.64,287,17.65,227,432.495,0.5,15.23,0.9674502712477396,8.864999999999998,0.43482309124767227,116.84,0.5454545454545454,121.71000000000001,0.030303030303030304,17.645,0.5583657587548638
2021-07-09 09:31:48.270384,432.49,1,432.5,1,15.23,535,15.23,18,8.86,2479,8.87,3035,116.83,12,116.85,10,121.69,7,121.7,3,17.64,287,17.65,227,432.495,0.5,15.23,0.9674502712477396,8.864999999999998,0.4495828799419659,116.84,0.5454545454545454,121.695,0.7,17.645,0.5583657587548638
2021-07-09 09:31:49.271635,432.47,80,432.5,37,15.23,535,15.23,18,8.86,2479,8.87,3035,116.82,24,116.84,16,121.69,7,121.7,3,17.64,332,17.65,227,432.485,0.6837606837606838,15.23,0.9674502712477396,8.864999999999998,0.4495828799419659,116.83,0.6,121.695,0.7,17.645,0.59391771019678
2021-07-09 09:31:59.102496,432.48,8,432.5,32,15.23,535,15.23,18,8.86,2479,8.87,3035,116.81,12,116.84,16,121.68,78,121.7,4,17.64,332,17.65,200,432.49,0.2,15.23,0.9674502712477396,8.864999999999998,0.4495828799419659,116.825,0.42857142857142855,121.69,0.9512195121951219,17.645,0.6240601503759399
2021-07-09 09:32:06.179107,432.48,8,432.5,32,15.23,535,15.23,18,8.86,2780,8.87,3035,116.81,12,116.84,16,121.68,78,121.7,4,17.64,352,17.65,184,432.49,0.2,15.23,0.9674502712477396,8.864999999999998,0.47807394668959585,116.825,0.42857142857142855,121.69,0.9512195121951219,17.645,0.6567164179104478
2021-07-09 09:32:09.137025,432.48,4,432.49,208,15.23,535,15.23,18,8.86,2780,8.87,3035,116.81,7,116.83,14,121.68,65,121.7,4,17.64,352,17.65,184,432.485,0.018867924528301886,15.23,0.9674502712477396,8.864999999999998,0.47807394668959585,116.82,0.3333333333333333,121.69,0.9420289855072463,17.645,0.6567164179104478
2021-07-09 09:32:19.053166,432.48,4,432.49,107,15.23,535,15.23,18,8.86,2780,8.87,3035,116.81,3,116.83,16,121.68,56,121.7,4,17.64,351,17.65,170,432.485,0.036036036036036036,15.23,0.9674502712477396,8.864999999999998,0.47807394668959585,116.82,0.15789473684210525,121.69,0.9333333333333333,17.645,0.6737044145873321
